@relation 'NOTRT-bodyhub_5,10,20_sensores'

@attribute 'Sensor remetente' {Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19}
@attribute ' Estado do Paciente' {bom,medio,ruim}
@attribute ' Enviado as (s)' numeric
@attribute ' Processado as (s)' numeric
@attribute ' Diff (s)' numeric
@attribute 'Numero de Sensores' {five,ten,twenty}
@attribute 'Real-time Mode' {'Real-time OFF'}
@attribute 'Cycle Time Constraint' {SATISFIED,VIOLATED}
@attribute 'Emergency Detection time Constraint' {SATISFIED,VIOLATED}

@data
Sensor0,bom,6.72349,6.91856,0.19506,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,7.72513,7.92128,0.19615,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,8.72932,8.92051,0.1912,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,9.72231,9.96487,0.24256,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,10.7283,10.9252,0.1969,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,11.7291,11924,0.19489,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,12.7307,12.9277,0.19701,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,13.7337,13.9303,0.1966,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,14.7268,14.9235,0.19669,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,15.7331,15.9332,0.20005,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,16.7342,16.9332,0.19902,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,17.7358,17.9342,0.19843,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,18.7402,18.9379,0.19769,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,19.7477,19.9342,0.18655,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,20.7419,20.9386,0.19664,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,21.7433,21.9412,0.1979,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,22.7446,22.9392,0.19454,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,23.7476,23.9444,0.19681,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,24.7512,24.9488,0.19763,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,25.7487,25945,0.19629,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,26.7505,26.9444,0.19393,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,27.7491,27.9486,0.19957,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,28.7543,28.9556,0.20129,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,29.7613,29.9555,0.19418,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,30.2501,30.4506,0.20053,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,30.7519,30.9524,0.20048,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,31.2533,31.4564,0.20309,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,31.7568,31.9491,0.19226,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,32.2548,32.4633,0.20849,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,32.7634,32.9545,0.19107,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,33.2631,33.4642,0.20111,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,33.7548,33.9505,0.19569,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,34.2572,34.4541,0.19693,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,34.7555,34.9549,0.19944,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,35.2551,35.4566,0.20156,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,35.7555,35954,0.19847,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,36.2567,36.4559,0.19924,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,36.7583,36.9535,0.19521,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,37265,37466,0.20105,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,37.7634,37.9723,0.20892,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,38.2691,38.4579,0.18874,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,38.7613,38.9609,0.19967,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,39.2593,39.4612,0.20198,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,39.7616,39955,0.19346,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,40.2573,40.4654,0.20808,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,40.7682,40.9645,0.19632,twenty,'Real-time OFF',VIOLATED,SATISFIED
