Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor0,bom,6.72349,6.91856,0.195064
Sensor0,bom,7.72513,7.92128,0.196148
Sensor0,bom,8.72932,8.92051,0.191199
Sensor0,bom,9.72231,9.96487,0.242561
Sensor0,bom,10.7283,10.9252,0.196901
Sensor0,bom,11.7291,11924,0.194892
Sensor0,bom,12.7307,12.9277,0.197005
Sensor0,bom,13.7337,13.9303,0.196595
Sensor0,medio,14.7268,14.9235,0.196691
Sensor0,medio,15.7331,15.9332,0.20005
Sensor0,medio,16.7342,16.9332,0.199016
Sensor0,medio,17.7358,17.9342,0.19843
Sensor0,medio,18.7402,18.9379,0.197687
Sensor0,medio,19.7477,19.9342,0.186545
Sensor0,medio,20.7419,20.9386,0.196639
Sensor0,medio,21.7433,21.9412,0.197898
Sensor0,medio,22.7446,22.9392,0.194539
Sensor0,medio,23.7476,23.9444,0.196807
Sensor0,medio,24.7512,24.9488,0.197629
Sensor0,bom,25.7487,25945,0.196286
Sensor0,medio,26.7505,26.9444,0.193927
Sensor0,medio,27.7491,27.9486,0.199572
Sensor0,medio,28.7543,28.9556,0.201292
Sensor0,medio,29.7613,29.9555,0.194181
Sensor0,medio,30.2501,30.4506,0.200533
Sensor0,medio,30.7519,30.9524,0.200484
Sensor0,medio,31.2533,31.4564,0.203085
Sensor0,medio,31.7568,31.9491,0.192262
Sensor0,medio,32.2548,32.4633,0.208486
Sensor0,medio,32.7634,32.9545,0.191068
Sensor0,medio,33.2631,33.4642,0.201105
Sensor0,medio,33.7548,33.9505,0.195694
Sensor0,medio,34.2572,34.4541,0.196931
Sensor0,medio,34.7555,34.9549,0.199439
Sensor0,medio,35.2551,35.4566,0.201561
Sensor0,medio,35.7555,35954,0.198471
Sensor0,medio,36.2567,36.4559,0.199237
Sensor0,medio,36.7583,36.9535,0.195213
Sensor0,medio,37265,37466,0.201048
Sensor0,medio,37.7634,37.9723,0.208923
Sensor0,medio,38.2691,38.4579,0.188737
Sensor0,medio,38.7613,38.9609,0.199672
Sensor0,medio,39.2593,39.4612,0.201983
Sensor0,medio,39.7616,39955,0.193458
