Sensor remetente, Estado do Paciente, Enviado às (s), Processado às (s), Diff (s)
Sensor0,bom,2.63978,2.83492,0.195144
Sensor0,bom,3.63983,3.83568,0.195843
Sensor1,bom,3.74548,3.8358,0.0903208
Sensor0,bom,4.63991,4.83648,0.196571
Sensor1,bom,4.74557,4.83662,0.0910562
Sensor2,bom,4.75155,4.83671,0.0851625
Sensor0,bom,5.64001,5.83707,0.197061
Sensor1,bom,5.74563,5.83717,0.0915408
Sensor2,bom,5.75153,5.83726,0.0857306
Sensor4,bom,5.75752,5.83736,0.0798361
Sensor0,bom,7.40752,7.54847,0.140949
Sensor1,bom,7.48507,7.54856,0.0634935
Sensor2,bom,7.49097,7.54865,0.0576762
Sensor4,bom,7.50365,7.54873,0.0450794
Sensor3,bom,7.57335,7.69859,0.125239
Sensor0,bom,8.1396,8.2805,0.140894
Sensor1,bom,8.21712,8.2806,0.0634724
Sensor2,bom,8.22297,8.28068,0.0577078
Sensor4,bom,8.23551,8.28076,0.0452488
Sensor3,bom,8.30563,8.43055,0.124915
Sensor0,bom,8.8715,9.01252,0.141025
Sensor1,bom,8.94923,9.01263,0.0634002
Sensor2,bom,8.95519,9.01272,0.0575299
Sensor4,bom,8.96752,9.0128,0.0452748
Sensor3,bom,9.03734,9.16256,0.125224
Sensor0,bom,9.64001,9.83703,0.197017
Sensor1,bom,9.74566,9.83714,0.091484
Sensor2,bom,9.75169,9.83723,0.0855394
Sensor4,bom,9.76363,9.83733,0.0736945
Sensor3,bom,9.86249,10.0351,0.1726
Sensor0,bom,10.6399,10837,0.197042
Sensor1,bom,10.7456,10.8371,0.0915079
Sensor2,bom,10.7515,10.8372,0.0856253
Sensor4,bom,10.7634,10.8373,0.0738502
Sensor3,bom,10.8623,11.0351,0.1728
Sensor0,bom,11.6401,11837,0.196974
Sensor1,bom,11.7456,11.8371,0.0915252
Sensor2,bom,11.7516,11.8372,0.0856359
Sensor4,bom,11.7633,11.8373,0.0740001
Sensor3,bom,11.8621,12.0351,0.173074
Sensor0,bom,12.6402,12837,0.196753
Sensor1,bom,12.7458,12.8371,0.0912567
Sensor2,bom,12.7517,12.8372,0.0854557
Sensor4,bom,12.7642,12.8372,0.0730624
Sensor3,medio,12.8621,13.0351,0.172993
Sensor3,medio,13.3572,13.5351,0.177881
Sensor0,bom,13.6401,13837,0.196907
Sensor1,bom,13746,13.8371,0.0911212
Sensor2,bom,13.7519,13.8372,0.0853144
Sensor4,bom,13.7644,13.8373,0.0728611
Sensor3,medio,13.8623,14.0351,0.172809
Sensor3,medio,14.3577,14.5351,0.177383
Sensor0,bom,14.6401,14837,0.196895
Sensor1,bom,14.7458,14.8371,0.0912984
Sensor2,bom,14.7517,14.8372,0.0854437
Sensor4,bom,14.7642,14.8372,0.0730569
Sensor3,medio,14862,15.0351,0.173067
Sensor3,medio,15.3574,15.5351,0.177637
Sensor0,bom,15.6401,15837,0.196913
Sensor1,bom,15.7457,15.8371,0.0913504
Sensor2,bom,15.7517,15.8372,0.0855096
