Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s),Numero de Sensores,Real-time Mode,Cycle Time Constraint,Emergency Detection time Constraint
Sensor0,bom,3.79232,3.88705,0.09473,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,bom,4.79196,4.88687,0.09492,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,bom,5792,5.88655,0.09455,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,bom,6.79186,6.8864,0.09454,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,bom,7.7923,7.88698,0.09467,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,8.79183,8.88593,0.0941,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,9.29096,9.38999,0.09903,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,9.79878,9.8939,0.09512,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,10.2957,10.3929,0.09718,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,10.7986,10893,0.09439,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,12.2674,12.3641,0.09675,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,12729,12.8235,0.09454,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,13.2311,13.3245,0.09348,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,13.3319,13.4254,0.09354,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,13.4325,13.5243,0.09181,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,13.5317,13.6253,0.0936,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,13.6325,13.7252,0.09267,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,13.7326,13.8257,0.09312,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,13.8332,13.9254,0.09222,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,13.9329,14.0258,0.09295,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,14.0331,14.1262,0.09317,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,14134,14.2272,0.09328,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,14.2344,14.3246,0.0902,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,14332,14.4264,0.0944,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,14.4333,14.5242,0.09095,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,14531,14.6221,0.09103,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,14.6291,14.7251,0.09605,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,14.7319,14.8244,0.09255,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,14.8315,14.9252,0.09364,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,14.9323,15.0251,0.09283,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,15.0327,15.1264,0.09363,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,15.1334,15.2247,0.0913,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,ruim,15.2314,15.3248,0.09341,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,15332,15.4256,0.09354,five,Real-time OFF,SATISFIED,SATISFIED
Sensor0,medio,15829,15.9241,0.09505,five,Real-time OFF,SATISFIED,SATISFIED
