@relation bodyhub_sensors_rt

@attribute 'Sensor remetente' {Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19}
@attribute ' Estado do Paciente' {bom}
@attribute ' Enviado as (s)' numeric
@attribute ' Processado as (s)' numeric
@attribute ' Diff (s)' numeric
@attribute 'Numero de sensores' {five,ten,twenty}
@attribute 'Real-time Mode' {'Real-time ON'}
@attribute 'Cycle Time Constraint' {SATISFIED,VIOLATED}
@attribute 'Emergency Detection Time Constraint' {SATISFIED}

@data
Sensor0,bom,2.24147,2.33658,0.09511,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,3.24139,3.33649,0.0951,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,4.24146,4.33664,0.09518,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,5.24256,5.33653,0.09397,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,6.24152,6.33664,0.09511,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,7.24152,7.33667,0.09515,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,8.24152,8.33658,0.09507,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,9.24159,9.3367,0.09511,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,10.2416,10.3367,0.09511,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,11.2422,11.3366,0.09439,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,12.2424,12.3367,0.09434,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,13.2424,13.3367,0.09433,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,14.2424,14.3367,0.09436,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,15.2424,15.3367,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,16.2424,16.3367,0.09426,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,17.2424,17.3367,0.09433,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,18.2423,18.3366,0.0943,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,19.2422,19.3366,0.09439,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,20.2423,20.3366,0.0943,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,21.2424,21.3366,0.09426,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,22.2423,22.3367,0.09435,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,23.2424,23.3367,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,24.2424,24.3366,0.09422,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,25.2423,25.3367,0.09434,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,26.2423,26.3366,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,27.2423,27.3366,0.0943,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,28.2423,28.3366,0.09436,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,29.2423,29.3366,0.09436,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,30.2423,30.3366,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,31.2423,31.3366,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,32.2423,32.3367,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,33.2423,33.3367,0.09434,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,34.2422,34.3366,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,35.2422,35.3366,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,36.2424,36.3367,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,37.2423,37.3367,0.09443,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,38.2423,38.3366,0.09433,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,39.2424,39.3367,0.09433,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,40.2423,40.3367,0.09438,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,41.2423,41.3367,0.09438,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,42.2423,42.3366,0.09424,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,43.2423,43.3365,0.09424,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,44.2424,44.3367,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,45.2424,45.3366,0.09426,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,46.2423,46.3366,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,47.2423,47.3366,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,48.2423,48.3366,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,49.2424,49.3366,0.09422,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,50.2424,50.3366,0.09422,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,51.2423,51.3365,0.09423,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,52.2423,52.3366,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,53.2423,53.3366,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,54.2423,54.3366,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,55.2423,55.3366,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,56.2423,56.3366,0.09434,ten,'Real-time ON',SATISFIED,SATISFIED
