Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor0,bom,2.24147,2.33658,0.0951111
Sensor0,bom,3.24139,3.33649,0.0950996
Sensor0,bom,4.24146,4.33664,0.0951763
Sensor0,bom,5.24256,5.33653,0.093967
Sensor0,bom,6.24152,6.33664,0.0951126
Sensor0,bom,7.24152,7.33667,0.0951489
Sensor0,bom,8.24152,8.33658,0.0950672
Sensor0,bom,9.24159,9.3367,0.0951123
Sensor0,bom,10.2416,10.3367,0.095106
Sensor0,bom,11.2422,11.3366,0.0943864
Sensor0,bom,12.2424,12.3367,0.0943438
Sensor0,bom,13.2424,13.3367,0.094334
Sensor0,bom,14.2424,14.3367,0.094364
Sensor0,bom,15.2424,15.3367,0.094311
Sensor0,bom,16.2424,16.3367,0.0942618
Sensor0,bom,17.2424,17.3367,0.0943324
Sensor0,bom,18.2423,18.3366,0.0943035
Sensor0,bom,19.2422,19.3366,0.0943923
Sensor0,bom,20.2423,20.3366,0.0943043
Sensor0,bom,21.2424,21.3366,0.0942567
Sensor0,bom,22.2423,22.3367,0.0943474
Sensor0,bom,23.2424,23.3367,0.0942892
Sensor0,bom,24.2424,24.3366,0.0942231
Sensor0,bom,25.2423,25.3367,0.0943411
Sensor0,bom,26.2423,26.3366,0.0943061
Sensor0,bom,27.2423,27.3366,0.0943012
Sensor0,bom,28.2423,28.3366,0.0943567
Sensor0,bom,29.2423,29.3366,0.094356
Sensor0,bom,30.2423,30.3366,0.0943682
Sensor0,bom,31.2423,31.3366,0.0942893
Sensor0,bom,32.2423,32.3367,0.0943168
Sensor0,bom,33.2423,33.3367,0.0943362
Sensor0,bom,34.2422,34.3366,0.0943743
Sensor0,bom,35.2422,35.3366,0.0943724
Sensor0,bom,36.2424,36.3367,0.0943712
Sensor0,bom,37.2423,37.3367,0.0944254
Sensor0,bom,38.2423,38.3366,0.0943278
Sensor0,bom,39.2424,39.3367,0.0943286
Sensor0,bom,40.2423,40.3367,0.094378
Sensor0,bom,41.2423,41.3367,0.0943838
Sensor0,bom,42.2423,42.3366,0.0942412
Sensor0,bom,43.2423,43.3365,0.0942365
Sensor0,bom,44.2424,44.3367,0.094322
Sensor0,bom,45.2424,45.3366,0.0942592
Sensor0,bom,46.2423,46.3366,0.0943231
Sensor0,bom,47.2423,47.3366,0.0942949
Sensor0,bom,48.2423,48.3366,0.0943729
Sensor0,bom,49.2424,49.3366,0.0942249
Sensor0,bom,50.2424,50.3366,0.0942187
Sensor0,bom,51.2423,51.3365,0.0942333
Sensor0,bom,52.2423,52.3366,0.0943689
Sensor0,bom,53.2423,53.3366,0.0943067
Sensor0,bom,54.2423,54.3366,0.0943093
Sensor0,bom,55.2423,55.3366,0.0943059
Sensor0,bom,56.2423,56.3366,0.0943415
Sensor0,bom,57.2423,57.3366,0.0943351
Sensor0,bom,58.2423,58.3366,0.0942769
Sensor0,bom,59.2422,59.3365,0.094301
Sensor0,bom,60.2424,60.3367,0.0943332
Sensor0,bom,61.2423,61.3366,0.0942885
Sensor0,bom,62.2424,62.3367,0.0943481
Sensor0,bom,63.2424,63.3368,0.0943534
Sensor0,bom,64.2424,64.3367,0.0943282
Sensor0,bom,65.2424,65.3367,0.0943814
Sensor0,bom,66.2423,66.3366,0.0942776
Sensor0,bom,67.2423,67.3366,0.0942646
Sensor0,bom,68.2424,68.3367,0.0943424
Sensor0,bom,69.2424,69.3367,0.0942458
Sensor0,bom,70.2425,70.3367,0.0942571
Sensor0,bom,71.2424,71.3367,0.0943008
Sensor0,bom,72.2423,72.3366,0.0943229
Sensor0,bom,73.2423,73.3367,0.0943654
Sensor0,bom,74.2423,74.3365,0.09428
Sensor0,bom,75.2421,75.3366,0.0944664
Sensor0,bom,76.2423,76.3366,0.0943796
Sensor0,bom,77.2423,77.3367,0.0943668
Sensor0,bom,78.2423,78.3366,0.0943166
Sensor0,bom,79.2423,79.3366,0.0942891
Sensor0,bom,80.2424,80.3367,0.0942936
Sensor0,bom,81.2423,81.3366,0.0943548
Sensor0,bom,82.2422,82.3366,0.0943976
Sensor0,bom,83.2422,83.3367,0.0945018
Sensor0,bom,84.2424,84.3367,0.0943269
Sensor0,bom,85.2423,85.3367,0.094359
Sensor0,bom,86.2424,86.3367,0.0942759
Sensor0,bom,87.2425,87.3367,0.0942431
Sensor0,bom,88.2423,88.3367,0.0943709
Sensor0,bom,89.2423,89.3367,0.0943363
Sensor0,bom,90.2422,90.3366,0.094407
Sensor0,bom,91.2423,91.3368,0.0945373
Sensor0,bom,92.2423,92.3367,0.0944397
Sensor0,bom,93.2423,93.3367,0.0944202
Sensor0,bom,94.2423,94.3367,0.0943885
Sensor0,bom,95.2424,95.3367,0.0942866
Sensor0,bom,96.2423,96.3367,0.0944003
Sensor0,bom,97.2423,97.3366,0.0942546
Sensor0,bom,98.2423,98.3366,0.0942868
Sensor0,bom,99.2424,99.3366,0.0942331
Sensor0,bom,100242,100337,0.0943504
Sensor0,bom,101242,101337,0.0943264
Sensor0,bom,102242,102337,0.0943696
Sensor0,bom,103242,103337,0.0943113
Sensor0,bom,104242,104337,0.0943704
Sensor0,bom,105242,105337,0.0942994
Sensor0,bom,106242,106337,0.0943749
Sensor0,bom,107242,107337,0.0945107
Sensor0,bom,108242,108337,0.0943131
Sensor0,bom,109242,109337,0.0944384
Sensor0,bom,110242,110337,0.0943708
Sensor0,bom,111242,111337,0.0942881
Sensor0,bom,112242,112337,0.0942801
Sensor0,bom,113242,113337,0.0944381
Sensor0,bom,114242,114337,0.0943218
Sensor0,bom,115242,115337,0.0943601
Sensor0,bom,116242,116337,0.0942478
Sensor0,bom,117243,117337,0.0942022
Sensor0,bom,118242,118337,0.0943052
Sensor0,bom,119242,119337,0.09434
Sensor0,bom,120242,120337,0.0943254
Sensor0,bom,121242,121337,0.0942603
Sensor0,bom,122242,122337,0.0943103
Sensor0,bom,123242,123337,0.0944075
Sensor0,bom,124242,124337,0.0942877
Sensor0,bom,125242,125337,0.0942917
Sensor0,bom,126242,126337,0.0942581
Sensor0,bom,127242,127337,0.0942791
Sensor0,bom,128242,128337,0.0943748
Sensor0,bom,129242,129337,0.0943189
Sensor0,bom,130242,130337,0.0943422
Sensor0,bom,131242,131337,0.0943254
Sensor0,bom,132242,132337,0.09434
Sensor0,bom,133242,133337,0.0942893
Sensor0,bom,134242,134337,0.0942907
Sensor0,bom,135242,135337,0.0944016
Sensor0,bom,136242,136337,0.0943652
Sensor0,bom,137242,137337,0.0943162
Sensor0,bom,138242,138337,0.094317
Sensor0,bom,139242,139337,0.0945028
Sensor0,bom,140242,140337,0.0944541
Sensor0,bom,141242,141337,0.0944156
Sensor0,bom,142242,142337,0.0944522
Sensor0,bom,143242,143337,0.0943807
Sensor0,bom,144242,144337,0.0943921
Sensor0,bom,145242,145337,0.0942743
Sensor0,bom,146242,146337,0.0943211
Sensor0,bom,147242,147337,0.094356
Sensor0,bom,148242,148337,0.0943289
Sensor0,bom,149242,149337,0.094356
Sensor0,bom,150242,150337,0.0943436
Sensor0,bom,151242,151337,0.094342
Sensor0,bom,152242,152337,0.0943961
Sensor0,bom,153242,153337,0.0942844
Sensor0,bom,154242,154337,0.0942999
Sensor0,bom,155242,155337,0.0943445
Sensor0,bom,156242,156337,0.0943168
Sensor0,bom,157242,157337,0.0943232
Sensor0,bom,158242,158337,0.0944365
Sensor0,bom,159242,159337,0.0942948
Sensor0,bom,160242,160337,0.0944292
Sensor0,bom,161242,161337,0.0944194
Sensor0,bom,162242,162337,0.0943763
Sensor0,bom,163242,163337,0.0944029
Sensor0,bom,164242,164337,0.094282
Sensor0,bom,165242,165337,0.0943059
Sensor0,bom,166242,166337,0.0943312
Sensor0,bom,167242,167337,0.094355
Sensor0,bom,168242,168337,0.0943263
Sensor0,bom,169242,169337,0.0942408
Sensor0,bom,170242,170337,0.0942919
Sensor0,bom,171242,171337,0.0944554
Sensor0,bom,172242,172337,0.0943851
Sensor0,bom,173242,173337,0.0943361
Sensor0,bom,174242,174337,0.094274
Sensor0,bom,175242,175337,0.0942214
Sensor0,bom,176242,176337,0.094263
Sensor0,bom,177242,177337,0.0942858
Sensor0,bom,178242,178337,0.0942624
Sensor0,bom,179242,179337,0.0943748
Sensor0,bom,180242,180337,0.0944409
Sensor0,bom,181242,181337,0.0943236
Sensor0,bom,182242,182337,0.0942815
Sensor0,bom,183242,183337,0.0943095
Sensor0,bom,184242,184337,0.0942117
Sensor0,bom,185242,185337,0.0943725
Sensor0,bom,186242,186337,0.0943781
Sensor0,bom,187242,187337,0.0943171
Sensor0,bom,188242,188337,0.0944503
Sensor0,bom,189242,189337,0.0943161
Sensor0,bom,190242,190337,0.0942272
Sensor0,bom,191242,191337,0.0944232
Sensor0,bom,192242,192337,0.0944143
Sensor0,bom,193242,193337,0.0943093
Sensor0,bom,194242,194337,0.0943801
Sensor0,bom,195242,195337,0.0943776
Sensor0,bom,196242,196337,0.0944556
Sensor0,bom,197242,197337,0.094266
Sensor0,bom,198242,198337,0.094306
Sensor0,bom,199242,199337,0.0942998
Sensor0,bom,200242,200337,0.0942826
Sensor0,bom,201242,201337,0.0943129
Sensor0,bom,202242,202337,0.0943123
Sensor0,bom,203242,203337,0.0944696
Sensor0,bom,204242,204337,0.0943717
Sensor0,bom,205242,205337,0.0943076
Sensor0,bom,206242,206337,0.0943308
Sensor0,bom,207242,207337,0.0943222
Sensor0,bom,208242,208337,0.0943732
Sensor0,bom,209242,209337,0.09437
Sensor0,bom,210242,210337,0.0944319
Sensor0,bom,211242,211337,0.0944917
Sensor0,bom,212242,212337,0.0943163
Sensor0,bom,213242,213337,0.0943244
Sensor0,bom,214242,214337,0.0942769
Sensor0,bom,215242,215337,0.0943009
Sensor0,bom,216242,216337,0.094284
Sensor0,bom,217242,217337,0.0943239
Sensor0,bom,218242,218337,0.0943162
Sensor0,bom,219242,219337,0.0943952
Sensor0,bom,220242,220337,0.0942791
Sensor0,bom,221243,221337,0.094217
Sensor0,bom,222242,222337,0.0944203
Sensor0,bom,223242,223337,0.0942294
Sensor0,bom,224242,224337,0.0943207
Sensor0,bom,225242,225337,0.0942138
Sensor0,bom,226242,226337,0.0943332
Sensor0,bom,227242,227337,0.0944572
Sensor0,bom,228242,228337,0.0942799
Sensor0,bom,229242,229337,0.0943076
Sensor0,bom,230242,230337,0.0942826
Sensor0,bom,231242,231337,0.0943109
Sensor0,bom,232242,232337,0.0943082
Sensor0,bom,233242,233337,0.0943364
Sensor0,bom,234242,234337,0.0942479
Sensor0,bom,235242,235337,0.0943991
Sensor0,bom,236242,236337,0.0943248
Sensor0,bom,237242,237337,0.0944063
Sensor0,bom,238242,238337,0.0942504
Sensor0,bom,239242,239337,0.0944518
Sensor0,bom,240242,240337,0.0943431
Sensor0,bom,241243,241337,0.0943467
Sensor1,bom,3.04724,3.13652,0.0892765
Sensor1,bom,4.04716,4.13655,0.0893846
Sensor1,bom,5.04738,5.13663,0.0892523
Sensor1,bom,6.04738,6.13665,0.0892669
Sensor1,bom,7.04732,7.13667,0.0893558
Sensor1,bom,8.04724,8.13663,0.0893935
Sensor1,bom,9.04722,9.13664,0.0894298
Sensor1,bom,10.0476,10.1373,0.0897907
Sensor1,bom,11.0474,11.1372,0.0898519
Sensor1,bom,12.0472,12.1374,0.0901407
Sensor1,bom,13.0473,13.1375,0.0902259
Sensor1,bom,14.0474,14.1374,0.0900156
Sensor1,bom,15.0474,15.1373,0.0899438
Sensor1,bom,16.0474,16.1373,0.0899472
Sensor1,bom,17.0474,17.1373,0.0899423
Sensor1,bom,18.0474,18.1373,0.0898952
Sensor1,bom,19.0473,19.1373,0.0899349
Sensor1,bom,20.0473,20.1373,0.090037
Sensor1,bom,21.0473,21.1373,0.0899616
Sensor1,bom,22.0475,22.1374,0.0899386
