@relation bodyhub_sensors_rt-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R2-5

@attribute 'Sensor remetente' {Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19}
@attribute 'Numero de sensores' {five,ten,twenty}
@attribute 'Cycle Time Constraint' {SATISFIED,VIOLATED}
@attribute 'Emergency Detection Time Constraint' {SATISFIED}

@data
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
Sensor0,five,SATISFIED,SATISFIED
