'﻿Sensor remetente',' Estado do Paciente',' Enviado às (s)',' Processado às (s)',' Diff (s)',Sensors,'Cycle Time Constraint','Emergency Detection Time Constraint'
Sensor0,ruim,4.0064,4.20238,0.19599,twenty,VIOLATED,SATISFIED
Sensor0,medio,4.20971,4.40309,0.19338,twenty,VIOLATED,SATISFIED
Sensor0,bom,4.30843,4.50411,0.19568,twenty,VIOLATED,SATISFIED
Sensor0,ruim,9.44281,9.6346,0.19179,twenty,VIOLATED,SATISFIED
Sensor0,ruim,9.54405,9.73395,0.18989,twenty,VIOLATED,SATISFIED
Sensor0,medio,10.4511,10.6395,0.18844,twenty,VIOLATED,SATISFIED
Sensor0,bom,10.7527,10.9457,0.19301,twenty,VIOLATED,SATISFIED
Sensor0,medio,16.9873,17.1989,0.2116,twenty,VIOLATED,SATISFIED
Sensor0,bom,17.3145,17.5321,0.21763,twenty,VIOLATED,SATISFIED
Sensor0,medio,21.4117,21.6978,0.28613,twenty,VIOLATED,VIOLATED
Sensor0,medio,21.5602,21.8506,0.29036,twenty,VIOLATED,VIOLATED
Sensor0,ruim,23.1396,23.4115,0.27199,twenty,VIOLATED,VIOLATED
Sensor0,medio,23.5614,23.8389,0.27751,twenty,VIOLATED,VIOLATED
Sensor0,ruim,24.1367,24.4181,0.28145,twenty,VIOLATED,VIOLATED
Sensor0,ruim,34.4299,34.7102,0.28027,twenty,VIOLATED,VIOLATED
Sensor0,ruim,35.4461,35.7228,0.27668,twenty,VIOLATED,VIOLATED
Sensor0,ruim,35.5854,35.8731,0.28775,twenty,VIOLATED,VIOLATED
Sensor0,ruim,36.6381,36.9304,0.29232,twenty,VIOLATED,VIOLATED
Sensor0,bom,36.9394,37.2417,0.30236,twenty,VIOLATED,VIOLATED
Sensor0,medio,40573,40.8497,0.27668,twenty,VIOLATED,VIOLATED
Sensor0,bom,40.8581,41.1516,0.29344,twenty,VIOLATED,VIOLATED
Sensor0,ruim,48269,48.5483,0.27926,twenty,VIOLATED,VIOLATED
Sensor0,ruim,48.6985,48.9892,0.29069,twenty,VIOLATED,VIOLATED
Sensor0,ruim,48.9956,49.2752,0.27959,twenty,VIOLATED,VIOLATED
Sensor0,medio,51.4163,51709,0.29262,twenty,VIOLATED,VIOLATED
Sensor0,medio,52.2796,52.5533,0.27378,twenty,VIOLATED,VIOLATED
Sensor0,ruim,56.2733,56.5469,0.27357,twenty,VIOLATED,VIOLATED
Sensor0,medio,60.1261,60.4102,0.28414,twenty,VIOLATED,VIOLATED
Sensor0,medio,60839,61.1193,0.2803,twenty,VIOLATED,VIOLATED
Sensor0,medio,64.2677,64.5421,0.27431,twenty,VIOLATED,VIOLATED
Sensor0,ruim,64.4054,64.6906,0.28523,twenty,VIOLATED,VIOLATED
Sensor0,ruim,65716,65988,0.27196,twenty,VIOLATED,VIOLATED
Sensor0,ruim,66.1399,66.4261,0.28617,twenty,VIOLATED,VIOLATED
Sensor0,ruim,78.6797,78.9651,0.28542,twenty,VIOLATED,VIOLATED
Sensor0,ruim,79.2736,79.5539,0.28032,twenty,VIOLATED,VIOLATED
Sensor0,ruim,81.1566,81.4381,0.28143,twenty,VIOLATED,VIOLATED
Sensor0,ruim,81.3005,81.5877,0.28714,twenty,VIOLATED,VIOLATED
Sensor0,ruim,87.1282,87.4054,0.27722,twenty,VIOLATED,VIOLATED
Sensor0,medio,87.2686,87545,0.27637,twenty,VIOLATED,VIOLATED
Sensor0,ruim,87.4136,87.6893,0.27576,twenty,VIOLATED,VIOLATED
Sensor0,ruim,88.2699,88.5475,0.27752,twenty,VIOLATED,VIOLATED
Sensor0,medio,88.9905,89.2664,0.27584,twenty,VIOLATED,VIOLATED
Sensor0,medio,89.1293,89.4166,0.28733,twenty,VIOLATED,VIOLATED
Sensor0,ruim,89.5734,89.8539,0.28044,twenty,VIOLATED,VIOLATED
Sensor0,ruim,89.7127,90.0025,0.28975,twenty,VIOLATED,VIOLATED
Sensor0,ruim,97.6585,97.9429,0.28442,twenty,VIOLATED,VIOLATED
Sensor0,ruim,97.8032,98.0912,0.28796,twenty,VIOLATED,VIOLATED
Sensor0,ruim,108013,108291,0.27882,twenty,VIOLATED,VIOLATED
