Sensor remetente, Estado do Paciente, Enviado às (s), Processado às (s), Diff (s),Sensors,Cycle Time Constraint,Emergency Detection Time Constraint
Sensor0,medio,2.36819,2.46325,0.09506,five,SATISFIED,SATISFIED
Sensor0,bom,2.66829,2.76315,0.09486,five,SATISFIED,SATISFIED
Sensor0,ruim,13.7682,13.8631,0.09489,five,SATISFIED,SATISFIED
Sensor0,medio,14.1683,14.2633,0.09498,five,SATISFIED,SATISFIED
Sensor0,ruim,14.4684,14.5639,0.09548,five,SATISFIED,SATISFIED
Sensor0,bom,15.7689,15.8642,0.09532,five,SATISFIED,SATISFIED
Sensor0,ruim,17.6683,17.7639,0.09555,five,SATISFIED,SATISFIED
Sensor0,medio,19.6683,19.7639,0.09562,five,SATISFIED,SATISFIED
Sensor0,ruim,20.0682,20.1631,0.09492,five,SATISFIED,SATISFIED
Sensor0,medio,20.6684,20.7632,0.09477,five,SATISFIED,SATISFIED
Sensor0,bom,20.8693,20.9632,0.09391,five,SATISFIED,SATISFIED
Sensor0,ruim,24.7683,24.8632,0.09488,five,SATISFIED,SATISFIED
Sensor0,medio,26.2683,26.3632,0.09489,five,SATISFIED,SATISFIED
Sensor0,medio,26.4683,26.5632,0.09488,five,SATISFIED,SATISFIED
Sensor0,medio,26.7683,26.8639,0.09562,five,SATISFIED,SATISFIED
Sensor0,ruim,27.0691,27.1634,0.09429,five,SATISFIED,SATISFIED
Sensor0,medio,27.3683,27.4638,0.09552,five,SATISFIED,SATISFIED
Sensor0,bom,27.5692,27.6632,0.09398,five,SATISFIED,SATISFIED
Sensor0,ruim,47.2704,47.3667,0.09629,five,SATISFIED,SATISFIED
Sensor0,ruim,47.4699,47.5653,0.09537,five,SATISFIED,SATISFIED
Sensor0,medio,51.2702,51.3647,0.09456,five,SATISFIED,SATISFIED
Sensor0,bom,51.3708,51.465,0.09415,five,SATISFIED,SATISFIED
Sensor0,ruim,51.5706,51.6648,0.09422,five,SATISFIED,SATISFIED
Sensor0,bom,51.7717,51.8653,0.09356,five,SATISFIED,SATISFIED
Sensor0,ruim,53.3695,53.4648,0.09524,five,SATISFIED,SATISFIED
Sensor0,medio,53.7685,53.8651,0.09663,five,SATISFIED,SATISFIED
Sensor0,bom,53.8714,53.9639,0.09252,five,SATISFIED,SATISFIED
Sensor0,ruim,59.4691,59.5632,0.09404,five,SATISFIED,SATISFIED
Sensor0,medio,59.7682,59.8632,0.09499,five,SATISFIED,SATISFIED
Sensor0,bom,60.1682,60.2637,0.09548,five,SATISFIED,SATISFIED
Sensor0,medio,60.6682,60.7639,0.09562,five,SATISFIED,SATISFIED
Sensor0,ruim,61.0681,61.1632,0.0951,five,SATISFIED,SATISFIED
Sensor0,medio,68.969,69.063,0.09499,five,SATISFIED,SATISFIED
Sensor0,bom,69.2691,69.3631,0.09405,five,SATISFIED,SATISFIED
