Tempo(s), Risco do Sensor, Nivel da Bateria, Diff(s),Mode,Cycle Time-Constraint,Confirmation Time-Constraint
2.3646,baixo,99.02,0.950,(3 out of 5),Violated,Violated
3.4646,moderado,98.57,1.100,(3 out of 5),Violated,Violated
6.16464,alto,97.48,2.700,(3 out of 5),Violated,Violated
8.11546,moderado,96.69,1.951,(3 out of 5),Violated,Violated
9.41454,alto,96.16,1.299,(3 out of 5),Violated,Violated
9.81457,moderado,95.99,0.400,(3 out of 5),Violated,Violated
17.5146,alto,92.9,7.700,(3 out of 5),Violated,Violated
18.3646,moderado,92.55,0.850,(3 out of 5),Violated,Violated
18.6646,alto,92.42,0.300,(3 out of 5),Violated,Violated
21.0145,moderado,91.47,2.350,(3 out of 5),Violated,Violated
24.9153,alto,89.9,3.901,(3 out of 5),Violated,Violated
26.2648,moderado,89.35,1.349,(3 out of 5),Violated,Violated
29.2647,alto,88.14,3.000,(3 out of 5),Violated,Violated
30.0146,moderado,87.83,0.750,(3 out of 5),Violated,Violated
30.5645,baixo,87.6,0.550,(3 out of 5),Violated,Violated
31.8646,moderado,87.07,1.300,(3 out of 5),Violated,Violated
32.1146,baixo,86.96,0.250,(3 out of 5),Violated,Violated
33.2153,moderado,86.51,1.101,(3 out of 5),Violated,Violated
35.2646,baixo,85.68,2.049,(3 out of 5),Violated,Violated
37.8646,moderado,84.63,2.600,(3 out of 5),Violated,Violated
45.4646,baixo,81.58,7.600,(3 out of 5),Violated,Violated
46.2645,moderado,81.25,0.800,(3 out of 5),Violated,Violated
49.4146,baixo,79.98,3.150,(3 out of 5),Violated,Violated
49.4647,moderado,79.95,0.050,(3 out of 5),Satisfied,Satisfied
53.0645,alto,78.5,3.600,(3 out of 5),Violated,Violated
54.7145,moderado,77.83,1.650,(3 out of 5),Violated,Violated
54.8153,alto,77.78,0.101,(3 out of 5),Violated,Satisfied
54.8645,moderado,77.75,0.049,(3 out of 5),Satisfied,Satisfied
54.9153,alto,77.72,0.051,(3 out of 5),Satisfied,Satisfied
55.7145,moderado,77.39,0.799,(3 out of 5),Violated,Violated
56.7645,baixo,76.96,1.050,(3 out of 5),Violated,Violated
58.2646,moderado,76.35,1.500,(3 out of 5),Violated,Violated
59.2646,alto,75.94,1.000,(3 out of 5),Violated,Violated
60.2146,moderado,75.55,0.950,(3 out of 5),Violated,Violated
60.5146,baixo,75.42,0.300,(3 out of 5),Violated,Violated
61.7646,moderado,74.91,1.250,(3 out of 5),Violated,Violated
63.2644,baixo,74.3,1.500,(3 out of 5),Violated,Violated
63.9645,moderado,74.01,0.700,(3 out of 5),Violated,Violated
64.6146,alto,73.74,0.650,(3 out of 5),Violated,Violated
64.6646,moderado,73.71,0.050,(3 out of 5),Satisfied,Satisfied
70.3645,baixo,71.42,5.700,(3 out of 5),Violated,Violated
73.4145,moderado,70.19,3.050,(3 out of 5),Violated,Violated
74.0646,alto,69.92,0.650,(3 out of 5),Violated,Violated
76.7146,moderado,68.85,2.650,(3 out of 5),Violated,Violated
78.8646,alto,67.98,2.150,(3 out of 5),Violated,Violated
78.9653,moderado,67.93,0.101,(3 out of 5),Violated,Satisfied
80.4158,alto,67.34,1.450,(3 out of 5),Violated,Violated
81.1145,moderado,67.05,0.699,(3 out of 5),Violated,Violated
82.2146,alto,66.6,1.100,(3 out of 5),Violated,Violated
82.6646,moderado,66.41,0.450,(3 out of 5),Violated,Violated
82.7153,alto,66.38,0.051,(3 out of 5),Satisfied,Satisfied
83.9146,moderado,65.89,1.199,(3 out of 5),Violated,Violated
85.2146,baixo,65.36,1.300,(3 out of 5),Violated,Violated
85.9146,moderado,65.07,0.700,(3 out of 5),Violated,Violated
88.7646,alto,63.92,2.850,(3 out of 5),Violated,Violated
89.9647,moderado,63.43,1.200,(3 out of 5),Violated,Violated
93.3145,baixo,62.08,3.350,(3 out of 5),Violated,Violated
93.4646,moderado,62.01,0.150,(3 out of 5),Violated,Satisfied
93.7646,baixo,61.88,0.300,(3 out of 5),Violated,Violated
94.4645,moderado,61.59,0.700,(3 out of 5),Violated,Violated
96.7146,alto,60.68,2.250,(3 out of 5),Violated,Violated
96.9146,moderado,60.59,0.200,(3 out of 5),Violated,Satisfied
109,baixo,55.94,11.600,(3 out of 5),Violated,Violated
109,moderado,55.89,0.101,(3 out of 5),Violated,Satisfied
109,baixo,55.84,0.101,(3 out of 5),Violated,Satisfied
109,moderado,55.81,0.049,(3 out of 5),Satisfied,Satisfied
109,baixo,55.68,0.301,(3 out of 5),Violated,Violated
109,moderado,55.59,0.199,(3 out of 5),Violated,Satisfied
110,alto,55.38,0.500,(3 out of 5),Violated,Violated
110,moderado,55.25,0.300,(3 out of 5),Violated,Violated
112,alto,54.64,1.500,(3 out of 5),Violated,Violated
112,moderado,54.59,0.101,(3 out of 5),Violated,Satisfied
113,alto,53.86,1.799,(3 out of 5),Violated,Violated
114,moderado,53.83,0.050,(3 out of 5),Satisfied,Satisfied
114,baixo,53.74,0.200,(3 out of 5),Violated,Satisfied
114,moderado,53.47,0.650,(3 out of 5),Violated,Violated
115,baixo,53.08,0.950,(3 out of 5),Violated,Violated
118,moderado,51.97,2.750,(3 out of 5),Violated,Violated
119,baixo,51.78,0.450,(3 out of 5),Violated,Violated
119,moderado,51.75,0.051,(3 out of 5),Satisfied,Satisfied
119,alto,51.66,0.199,(3 out of 5),Violated,Satisfied
120,moderado,51.35,0.750,(3 out of 5),Violated,Violated
120,alto,51.32,0.050,(3 out of 5),Satisfied,Satisfied
122,moderado,50.39,2.300,(3 out of 5),Violated,Violated
123,alto,50.04,0.850,(3 out of 5),Violated,Violated
123,moderado,50.01,0.050,(3 out of 5),Satisfied,Satisfied
123,alto,49.98,0.051,(3 out of 5),Satisfied,Satisfied
124,moderado,49.61,0.899,(3 out of 5),Violated,Violated
124,baixo,49.54,0.151,(3 out of 5),Violated,Satisfied
124,moderado,49.39,0.349,(3 out of 5),Violated,Violated
126,alto,48.66,1.800,(3 out of 5),Violated,Violated
127,moderado,48.45,0.500,(3 out of 5),Violated,Violated
130,baixo,47.2,3.100,(3 out of 5),Violated,Violated
131,moderado,46.61,1.452,(3 out of 5),Violated,Violated
133,baixo,45.72,2.198,(3 out of 5),Violated,Violated
136,moderado,44.71,2.500,(3 out of 5),Violated,Violated
136,alto,44.66,0.101,(3 out of 5),Violated,Satisfied
137,moderado,44.25,0.999,(3 out of 5),Violated,Violated
137,alto,44.1,0.350,(3 out of 5),Violated,Violated
138,moderado,43.95,0.350,(3 out of 5),Violated,Violated
138,alto,43.9,0.101,(3 out of 5),Violated,Satisfied
139,moderado,43.53,0.899,(3 out of 5),Violated,Violated
140,baixo,42.9,1.550,(3 out of 5),Violated,Violated
140,moderado,42.79,0.250,(3 out of 5),Violated,Violated
142,baixo,42.3,1.200,(3 out of 5),Violated,Violated
142,moderado,42.27,0.050,(3 out of 5),Satisfied,Satisfied
144,alto,41.48,1.950,(3 out of 5),Violated,Violated
145,moderado,40.79,1.700,(3 out of 5),Violated,Violated
146,baixo,40.62,0.400,(3 out of 5),Violated,Violated
146,moderado,40.31,0.750,(3 out of 5),Violated,Violated
147,baixo,40.2,0.250,(3 out of 5),Violated,Violated
148,moderado,39.83,0.900,(3 out of 5),Violated,Violated
149,alto,39.26,1.400,(3 out of 5),Violated,Violated
