Tempo(s), Risco do Sensor, Nivel da Bateria,Delta Bateria, Diff(s),Mode
2.3646,baixo,99.02,0.45,0.94998,(3 out of 5)
3.4646,moderado,98.57,1.09,1.1,(3 out of 5)
6.16464,alto,97.48,0.79,2.70004,(3 out of 5)
8.11546,moderado,96.69,0.53,1.95082,(3 out of 5)
9.41454,alto,96.16,0.17,1.29908,(3 out of 5)
9.81457,moderado,95.99,3.09,0.40003,(3 out of 5)
17.5146,alto,92.9,0.35,7.70003,(3 out of 5)
18.3646,moderado,92.55,0.13,0.85004,(3 out of 5)
18.6646,alto,92.42,0.95,0.29996,(3 out of 5)
21.0145,moderado,91.47,1.57,2.3499,(3 out of 5)
24.9153,alto,89.9,0.55,3.90084,(3 out of 5)
26.2648,moderado,89.35,1.21,1.34942,(3 out of 5)
29.2647,alto,88.14,0.31,2.99998,(3 out of 5)
30.0146,moderado,87.83,0.23,0.74985,(3 out of 5)
30.5645,baixo,87.6,0.53,0.54994,(3 out of 5)
31.8646,moderado,87.07,0.11,1.30003,(3 out of 5)
32.1146,baixo,86.96,0.45,0.25003,(3 out of 5)
33.2153,moderado,86.51,0.83,1.10075,(3 out of 5)
35.2646,baixo,85.68,1.05,2.04929,(3 out of 5)
37.8646,moderado,84.63,3.05,2.59992,(3 out of 5)
45.4646,baixo,81.58,0.33,7.60002,(3 out of 5)
46.2645,moderado,81.25,1.27,0.79994,(3 out of 5)
49.4146,baixo,79.98,0.03,3.15007,(3 out of 5)
49.4647,moderado,79.95,1.45,0.05011,(3 out of 5)
53.0645,alto,78.5,0.67,3.59981,(3 out of 5)
54.7145,moderado,77.83,0.05,1.65001,(3 out of 5)
54.8153,alto,77.78,0.03,0.10074,(3 out of 5)
54.8645,moderado,77.75,0.03,0.04926,(3 out of 5)
54.9153,alto,77.72,0.33,0.05079,(3 out of 5)
55.7145,moderado,77.39,0.43,0.79918,(3 out of 5)
56.7645,baixo,76.96,0.61,1.05,(3 out of 5)
58.2646,moderado,76.35,0.41,1.50015,(3 out of 5)
59.2646,alto,75.94,0.39,1.00001,(3 out of 5)
60.2146,moderado,75.55,0.13,0.94998,(3 out of 5)
60.5146,baixo,75.42,0.51,0.3,(3 out of 5)
61.7646,moderado,74.91,0.61,1.24998,(3 out of 5)
63.2644,baixo,74.3,0.29,1.49979,(3 out of 5)
63.9645,moderado,74.01,0.27,0.70011,(3 out of 5)
64.6146,alto,73.74,0.03,0.65006,(3 out of 5)
64.6646,moderado,73.71,2.29,0.05006,(3 out of 5)
70.3645,baixo,71.42,1.23,5.69988,(3 out of 5)
73.4145,moderado,70.19,0.27,3.05004,(3 out of 5)
74.0646,alto,69.92,1.07,0.65009,(3 out of 5)
76.7146,moderado,68.85,0.87,2.64998,(3 out of 5)
78.8646,alto,67.98,0.05,2.15001,(3 out of 5)
78.9653,moderado,67.93,0.59,0.10064,(3 out of 5)
80.4158,alto,67.34,0.29,1.45049,(3 out of 5)
81.1145,moderado,67.05,0.45,0.69879,(3 out of 5)
82.2146,alto,66.6,0.19,1.10003,(3 out of 5)
82.6646,moderado,66.41,0.03,0.44998,(3 out of 5)
82.7153,alto,66.38,0.49,0.05079,(3 out of 5)
83.9146,moderado,65.89,0.53,1.19927,(3 out of 5)
85.2146,baixo,65.36,0.29,1.29998,(3 out of 5)
85.9146,moderado,65.07,1.15,0.69999,(3 out of 5)
88.7646,alto,63.92,0.49,2.85,(3 out of 5)
89.9647,moderado,63.43,1.35,1.20008,(3 out of 5)
93.3145,baixo,62.08,0.07,3.34986,(3 out of 5)
93.4646,moderado,62.01,0.13,0.15009,(3 out of 5)
93.7646,baixo,61.88,0.29,0.30001,(3 out of 5)
94.4645,moderado,61.59,0.91,0.69985,(3 out of 5)
96.7146,alto,60.68,0.09,2.25007,(3 out of 5)
96.9146,moderado,60.59,4.65,0.19999,(3 out of 5)
109,baixo,55.94,0.05,11.6,(3 out of 5)
109,moderado,55.89,0.05,0.10077,(3 out of 5)
109,baixo,55.84,0.03,0.10075,(3 out of 5)
109,moderado,55.81,0.13,0.04856,(3 out of 5)
109,baixo,55.68,0.09,0.30085,(3 out of 5)
109,moderado,55.59,0.21,0.19908,(3 out of 5)
110,alto,55.38,0.13,0.5001,(3 out of 5)
110,moderado,55.25,0.61,0.29987,(3 out of 5)
112,alto,54.64,0.05,1.49998,(3 out of 5)
112,moderado,54.59,0.73,0.10076,(3 out of 5)
113,alto,53.86,0.03,1.79932,(3 out of 5)
114,moderado,53.83,0.09,0.05005,(3 out of 5)
114,baixo,53.74,0.27,0.19999,(3 out of 5)
114,moderado,53.47,0.39,0.6499,(3 out of 5)
115,baixo,53.08,1.11,0.95008,(3 out of 5)
118,moderado,51.97,0.19,2.74985,(3 out of 5)
119,baixo,51.78,0.03,0.45005,(3 out of 5)
119,moderado,51.75,0.09,0.05063,(3 out of 5)
119,alto,51.66,0.31,0.19932,(3 out of 5)
120,moderado,51.35,0.03,0.75009,(3 out of 5)
120,alto,51.32,0.93,0.04993,(3 out of 5)
122,moderado,50.39,0.35,2.30012,(3 out of 5)
123,alto,50.04,0.03,0.84997,(3 out of 5)
123,moderado,50.01,0.03,0.05,(3 out of 5)
123,alto,49.98,0.37,0.05076,(3 out of 5)
124,moderado,49.61,0.07,0.89921,(3 out of 5)
124,baixo,49.54,0.15,0.15094,(3 out of 5)
124,moderado,49.39,0.73,0.3491,(3 out of 5)
126,alto,48.66,0.21,1.80006,(3 out of 5)
127,moderado,48.45,1.25,0.49995,(3 out of 5)
130,baixo,47.2,0.59,3.10004,(3 out of 5)
131,moderado,46.61,0.89,1.4517,(3 out of 5)
133,baixo,45.72,1.01,2.19827,(3 out of 5)
136,moderado,44.71,0.05,2.49989,(3 out of 5)
136,alto,44.66,0.41,0.1007,(3 out of 5)
137,moderado,44.25,0.15,0.99941,(3 out of 5)
137,alto,44.1,0.15,0.34999,(3 out of 5)
138,moderado,43.95,0.05,0.35003,(3 out of 5)
138,alto,43.9,0.37,0.10073,(3 out of 5)
139,moderado,43.53,0.63,0.89923,(3 out of 5)
140,baixo,42.9,0.11,1.54999,(3 out of 5)
140,moderado,42.79,0.49,0.25011,(3 out of 5)
142,baixo,42.3,0.03,1.19998,(3 out of 5)
142,moderado,42.27,0.79,0.04991,(3 out of 5)
144,alto,41.48,0.69,1.94989,(3 out of 5)
145,moderado,40.79,0.17,1.70009,(3 out of 5)
146,baixo,40.62,0.31,0.39998,(3 out of 5)
146,moderado,40.31,0.11,0.74998,(3 out of 5)
147,baixo,40.2,0.37,0.25002,(3 out of 5)
148,moderado,39.83,0.57,0.90013,(3 out of 5)
149,alto,39.26,0.27,1.39984,(3 out of 5)
150,moderado,38.99,0.03,0.65005,(3 out of 5)
150,alto,38.96,0.93,0.05002,(3 out of 5)
152,moderado,38.03,1.01,2.29998,(3 out of 5)
154,alto,37.02,0.27,2.50002,(3 out of 5)
155,moderado,36.75,1.11,0.64989,(3 out of 5)
158,baixo,35.64,0.03,2.75006,(3 out of 5)
158,moderado,35.61,0.21,0.04999,(3 out of 5)
158,baixo,35.4,0.17,0.50001,(3 out of 5)
159,moderado,35.23,0.41,0.39994,(3 out of 5)
160,alto,34.82,1.21,0.99992,(3 out of 5)
163,moderado,33.61,1.55,3.00022,(3 out of 5)
167,baixo,32.06,0.43,3.84988,(3 out of 5)
168,moderado,31.63,0.15,1.04985,(3 out of 5)
168,baixo,31.48,0.55,0.35016,(3 out of 5)
169,moderado,30.93,0.15,1.35011,(3 out of 5)
170,baixo,30.78,0.27,0.35,(3 out of 5)
170,moderado,30.51,1.49,0.64995,(3 out of 5)
174,alto,29.02,0.31,3.70002,(3 out of 5)
175,moderado,28.71,0.69,0.74989,(3 out of 5)
177,alto,28.02,0.31,1.70015,(3 out of 5)
177,moderado,27.71,1.47,0.75004,(3 out of 5)
181,baixo,26.24,0.05,3.65001,(3 out of 5)
181,moderado,26.19,0.45,0.10078,(3 out of 5)
182,alto,25.74,1.01,1.09914,(3 out of 5)
185,moderado,24.73,0.19,2.49998,(3 out of 5)
185,alto,24.54,1.59,0.45079,(3 out of 5)
189,moderado,22.95,0.05,3.9493,(3 out of 5)
189,alto,22.9,0.05,0.10077,(3 out of 5)
189,moderado,22.85,0.29,0.09997,(3 out of 5)
190,baixo,22.56,0.09,0.69921,(3 out of 5)
190,moderado,22.47,0.87,0.20009,(3 out of 5)
192,baixo,21.6,0.11,2.14982,(3 out of 5)
193,moderado,21.49,2.49,0.25012,(3 out of 5)
199,baixo,19,0.37,6.20001,(3 out of 5)
200,moderado,18.63,0.43,0.89997,(3 out of 5)
201,baixo,18.2,0.29,1.04982,(3 out of 5)
201,moderado,17.91,2.23,0.70017,(3 out of 5)
207,alto,15.68,0.37,5.54994,(3 out of 5)
208,moderado,15.31,1.03,0.89999,(3 out of 5)
210,baixo,14.28,0.59,2.55088,(3 out of 5)
212,moderado,13.69,1.67,1.44917,(3 out of 5)
216,alto,12.02,0.81,4.14994,(3 out of 5)
218,moderado,11.21,1.09,1.99998,(3 out of 5)
221,baixo,10.12,1.21,2.69997,(3 out of 5)
224,moderado,8.91,0.35,3.00009,(3 out of 5)
225,baixo,8.56,0.03,0.84997,(3 out of 5)
