Tempo(s), Risco do Sensor, Nível da Bateria, Diff(s),Mode
11.1626,moderado,96.01,11.05,(4 out of 5)
32.2904,baixo,89.34,21.1278,(4 out of 5)
44.3583,moderado,85.51,12.0679,(4 out of 5)
59.8425,alto,80.6,15.4842,(4 out of 5)
74.5828,moderado,75.95,14.7403,(4 out of 5)
95.3945,baixo,69.32,20.8118,(4 out of 5)
111.815,moderado,64.13,16.42,(4 out of 5)
152.927,baixo,51.14,41.1122,(4 out of 5)
155.319,moderado,50.37,2.39199,(4 out of 5)
157.359,baixo,49.72,2.03992,(4 out of 5)
172.255,moderado,45.01,14.8959,(4 out of 5)
176.122,baixo,43.78,3.86769,(4 out of 5)
177.082,moderado,43.47,0.960103,(4 out of 5)
195.523,baixo,37.64,18.4403,(4 out of 5)
198.738,moderado,36.61,3.21571,(4 out of 5)
206.614,baixo,34.1,7.87576,(4 out of 5)
214.654,moderado,31.53,8.0403,(4 out of 5)
234.742,baixo,25.14,20.0878,(4 out of 5)
238.079,moderado,24.07,3.33637,(4 out of 5)
281.119,baixo,10.48,43.0399,(4 out of 5)
282.45,moderado,10.05,1.33136,(4 out of 5)
291.198,alto,7.28,8.74853,(4 out of 5)
297.151,moderado,5.39,5.95205,(4 out of 5)
323.89,alto,-3.06,26.7399,(4 out of 5)
341.671,moderado,-8.69,17.7803,(4 out of 5)
381.659,alto,-21.32,39.988,(4 out of 5)
383.659,moderado,-21.97,1.99988,(4 out of 5)
402.799,baixo,-28.02,19.1402,(4 out of 5)
405.138,moderado,-28.77,2.33973,(4 out of 5)
420.131,baixo,-33.52,14.9921,(4 out of 5)
420.323,moderado,-33.59,0.192113,(4 out of 5)
440.887,baixo,-40.12,20.5639,(4 out of 5)
445.451,moderado,-41.57,4.564,(4 out of 5)
455.314,alto,-44.7,9.86328,(4 out of 5)
466.415,moderado,-48.21,11.1008,(4 out of 5)
470.635,baixo,-49.56,4.22015,(4 out of 5)
474.067,moderado,-50.65,3.43177,(4 out of 5)
499.095,baixo,-58.56,25.0281,(4 out of 5)
500.039,moderado,-58.87,0.944161,(4 out of 5)
503.543,baixo,-59.98,3.50394,(4 out of 5)
517.859,moderado,-64.51,14.3158,(4 out of 5)
518.811,alto,-64.82,0.952043,(4 out of 5)
527.171,moderado,-67.47,8.36013,(4 out of 5)
646.194,baixo,-105.04,119.024,(4 out of 5)
652.731,moderado,-107.11,6.53633,(4 out of 5)
660.275,baixo,-109.5,7.54394,(4 out of 5)
661.999,moderado,-110.05,1.72401,(4 out of 5)
668.175,baixo,-112,6.17613,(4 out of 5)
