Tempo(s), Risco do Sensor, Nível da Bateria, Diff(s)
0.0750543,alto,99.98,0.061245
0.481147,moderado,99.93,0.406092
0.681584,baixo,99.9,0.200437
0.881458,alto,99.87,0.199875
0.981625,baixo,99.85,0.100167
1.1812,moderado,99.82,0.199573
1.88012,alto,99.74,0.698921
2.08169,moderado,99.71,0.201566
2.18219,alto,99.69,0.1005
2.48117,moderado,99.65,0.298987
2.68192,baixo,99.62,0.200752
2.88119,moderado,99.59,0.199261
3.18143,alto,99.55,0.300247
3.38175,baixo,99.52,0.200319
3.48093,moderado,99.5,0.0991766
3.58236,baixo,99.48,0.101433
3.88063,moderado,99.44,0.298273
3.98219,alto,99.42,0.101558
4.18175,baixo,99.39,0.199557
4.48087,moderado,99.35,0.299117
5.08133,alto,99.28,0.600463
5.18284,moderado,99.26,0.101508
5.58044,baixo,99.21,0.397604
6.08103,alto,99.15,0.500584
7.08088,moderado,99.04,0.999859
7.38097,alto,99,0.300088
7.78079,moderado,98.95,0.399816
8.08069,alto,98.91,0.2999
8.38011,moderado,98.87,0.299421
8.58163,baixo,98.84,0.201526
8.78968,moderado,98.81,0.208047
9.0904,baixo,98.77,0.300714
9.29134,moderado,98.74,0.200949
10.2885,alto,98.63,0.997127
10.5882,moderado,98.59,0.299719
10.6898,baixo,98.57,0.101618
10.9875,moderado,98.53,0.297669
11.2882,alto,98.49,0.300722
11.5403,moderado,98.46,0.25209
11.5979,alto,98.44,0.0576433
11.8984,moderado,98.4,0.300484
12.5981,baixo,98.32,0.69965
13.0957,moderado,98.26,0.497595
13.2998,alto,98.23,0.204155
13.4954,moderado,98.2,0.195556
13.5956,baixo,98.18,0.100189
13.6965,alto,98.16,0.100962
13.7955,baixo,98.14,0.0989331
14.0955,moderado,98.1,0.300019
14.4939,baixo,98.05,0.398403
14.5972,moderado,98.03,0.103316
14.8008,baixo,98,0.203651
14.8984,moderado,97.98,0.0975622
15.3939,alto,97.92,0.495447
15.6964,moderado,97.88,0.302519
15.8963,baixo,97.85,0.199942
16.4948,moderado,97.78,0.59848
16.594,baixo,97.76,0.0992186
16.793,moderado,97.73,0.198958
16.8965,baixo,97.71,0.103503
17.0005,moderado,97.69,0.104044
17.794,alto,97.6,0.793474
18.3963,moderado,97.53,0.602272
18.7952,baixo,97.48,0.398968
19.8966,moderado,97.36,1.10136
20.4943,baixo,97.29,0.597707
20.5956,alto,97.27,0.101294
20.8946,baixo,97.23,0.299026
21.4988,moderado,97.16,0.604192
21.6965,alto,97.13,0.197672
23.2948,moderado,96.96,1.59829
23.4947,baixo,96.93,0.199959
24.0993,moderado,96.86,0.60453
24.1985,alto,96.84,0.0992505
24.3979,moderado,96.81,0.199381
24.6025,alto,96.78,0.204587
24.6978,moderado,96.76,0.0953314
24.9001,baixo,96.73,0.20224
