Tempo(s), Risco do Sensor, Nivel da Bateria,Delta Bateria, Diff(s)
18.7036,alto,97.26,0.36,18.6
18.9473,baixo,96.9,4.21,0.24364
47.7636,moderado,92.69,0.08,28.8163
48.0037,alto,92.61,0.08,0.24011
48.0508,moderado,92.53,0.22,0.04716
48.7716,baixo,92.31,0.57,0.72081
52.6155,alto,91.74,0.92,3.84389
53,moderado,90.82,0.08,0.62349
53.4797,baixo,90.74,0.92,0.24065
59.7236,moderado,89.82,0.08,6.24399
59.9671,alto,89.74,0.36,0.24348
60.2077,moderado,89.38,0.36,0.24054
61.4117,baixo,89.02,1.48,1.20401
71.4914,moderado,87.54,0.22,10.0797
72.2117,alto,87.32,3.16,0.72032
74.3758,moderado,84.16,0.08,2.16406
74.6157,baixo,84.08,1.2,0.2399
82.7836,alto,82.88,0.92,8.16794
83,moderado,81.96,0.43,0.62745
85,alto,81.53,0.57,1.43996
85.2352,moderado,80.96,0.43,0.3842
86.6755,baixo,80.53,1.48,1.4403
96.7594,moderado,79.05,0.15,10.0839
97.2393,baixo,78.9,4.63,0.47985
129,moderado,74.27,0.22,31.6881
130,alto,74.05,0.85,0.72429
130,moderado,73.2,0.08,0.5798
130,baixo,73.12,1.2,0.24365
139,alto,71.92,1.34,8.16436
140,moderado,70.58,0.22,0.91221
140,baixo,70.36,5.33,0.72357
177,moderado,65.03,0.15,36.4958
177,baixo,64.88,3.86,0.4799
204,alto,61.02,1.69,26.4085
205,baixo,59.33,1.06,1.15603
212,alto,58.27,0.15,7.20731
212.12,moderado,58.12,0.08,0.09757
212.36,baixo,58.04,4.07,0.23932
240,moderado,53.97,0.29,27.8518
241,baixo,53.68,10.65,0.96012
314,alto,43.03,0.43,72.9713
314,moderado,42.6,0.15,0.28831
315,baixo,42.45,11.56,0.48036
394,alto,30.89,0.5,79.2199
394,moderado,30.39,0.08,0.33955
395,baixo,30.31,1.69,0.24053
406,moderado,28.62,0.15,11.5312
407,baixo,28.47,0.29,0.48082
409,moderado,28.18,0.15,1.92401
409,baixo,28.03,5.89,0.4831
449,moderado,22.14,0.08,40.3449
450,alto,22.06,2.74,0.2436
452,moderado,19.32,0.08,1.87213
452,baixo,19.24,2.67,0.24399
