Tempo(s), Risco do Sensor, Nivel da Bateria,Delta Bateria, Diff(s),Mode
18.7036,alto,97.26,0.36,18.6,Controlled
18.9473,baixo,96.9,4.21,0.24364,Controlled
47.7636,moderado,92.69,0.08,28.8163,Controlled
48.0037,alto,92.61,0.08,0.24011,Controlled
48.0508,moderado,92.53,0.22,0.04716,Controlled
48.7716,baixo,92.31,0.57,0.72081,Controlled
52.6155,alto,91.74,0.92,3.84389,Controlled
53,moderado,90.82,0.08,0.62349,Controlled
53.4797,baixo,90.74,0.92,0.24065,Controlled
59.7236,moderado,89.82,0.08,6.24399,Controlled
59.9671,alto,89.74,0.36,0.24348,Controlled
60.2077,moderado,89.38,0.36,0.24054,Controlled
61.4117,baixo,89.02,1.48,1.20401,Controlled
71.4914,moderado,87.54,0.22,10.0797,Controlled
72.2117,alto,87.32,3.16,0.72032,Controlled
74.3758,moderado,84.16,0.08,2.16406,Controlled
74.6157,baixo,84.08,1.2,0.2399,Controlled
82.7836,alto,82.88,0.92,8.16794,Controlled
83,moderado,81.96,0.43,0.62745,Controlled
85,alto,81.53,0.57,1.43996,Controlled
85.2352,moderado,80.96,0.43,0.3842,Controlled
86.6755,baixo,80.53,1.48,1.4403,Controlled
96.7594,moderado,79.05,0.15,10.0839,Controlled
97.2393,baixo,78.9,4.63,0.47985,Controlled
129,moderado,74.27,0.22,31.6881,Controlled
130,alto,74.05,0.85,0.72429,Controlled
130,moderado,73.2,0.08,0.5798,Controlled
130,baixo,73.12,1.2,0.24365,Controlled
139,alto,71.92,1.34,8.16436,Controlled
140,moderado,70.58,0.22,0.91221,Controlled
140,baixo,70.36,5.33,0.72357,Controlled
177,moderado,65.03,0.15,36.4958,Controlled
177,baixo,64.88,3.86,0.4799,Controlled
204,alto,61.02,1.69,26.4085,Controlled
205,baixo,59.33,1.06,1.15603,Controlled
212,alto,58.27,0.15,7.20731,Controlled
212.12,moderado,58.12,0.08,0.09757,Controlled
212.36,baixo,58.04,4.07,0.23932,Controlled
240,moderado,53.97,0.29,27.8518,Controlled
241,baixo,53.68,10.65,0.96012,Controlled
314,alto,43.03,0.43,72.9713,Controlled
314,moderado,42.6,0.15,0.28831,Controlled
315,baixo,42.45,11.56,0.48036,Controlled
394,alto,30.89,0.5,79.2199,Controlled
394,moderado,30.39,0.08,0.33955,Controlled
395,baixo,30.31,1.69,0.24053,Controlled
406,moderado,28.62,0.15,11.5312,Controlled
407,baixo,28.47,0.29,0.48082,Controlled
409,moderado,28.18,0.15,1.92401,Controlled
409,baixo,28.03,5.89,0.4831,Controlled
449,moderado,22.14,0.08,40.3449,Controlled
450,alto,22.06,2.74,0.2436,Controlled
452,moderado,19.32,0.08,1.87213,Controlled
452,baixo,19.24,2.67,0.24399,Controlled
470,alto,16.57,2.04,18.24,Controlled
471,moderado,14.53,0.22,1.39181,Controlled
472,baixo,14.31,2.88,0.72444,Controlled
492,alto,11.43,0.22,19.6839,Controlled
492,moderado,11.21,0.08,0.14823,Controlled
492,baixo,11.13,0.43,0.2387,Controlled
495,alto,10.7,0.29,2.8808,Controlled
495,moderado,10.41,0.08,0.19183,Controlled
496,baixo,10.33,0.5,0.24056,Controlled
498.94,alto,9.83,0.64,3.36411,Controlled
499,moderado,9.19,0.08,0.43113,Controlled
500,alto,9.11,0.08,0.24465,Controlled
500,moderado,9.03,0.5,0.04727,Controlled
501,alto,8.53,0.15,1.68478,Controlled
501,moderado,8.38,0.29,0.09729,Controlled
502,alto,8.09,2.11,0.96672,Controlled
504,baixo,5.98,6.66,1.44404,Controlled
549,alto,-0.68,1.69,45.6319,Controlled
550.64,moderado,-2.37,0.15,1.1521,Controlled
551,alto,-2.52,0.08,0.47946,Controlled
551,moderado,-2.6,0.08,0.04797,Controlled
551,baixo,-2.68,4.28,0.24062,Controlled
581,alto,-6.96,0.5,29.2908,Controlled
581,moderado,-7.46,0.22,0.33666,Controlled
581.76,baixo,-7.68,1.34,0.72464,Controlled
591,alto,-9.02,0.22,9.1191,Controlled
591,moderado,-9.24,0.29,0.14887,Controlled
592,baixo,-9.53,5.33,0.95922,Controlled
628,moderado,-14.86,0.29,36.4886,Controlled
629.44,baixo,-15.15,5.33,0.96398,Controlled
666,moderado,-20.48,0.15,36.7122,Controlled
667,baixo,-20.63,3.58,0.47893,Controlled
691,moderado,-24.21,0.15,24.4849,Controlled
692,baixo,-24.36,5.12,0.48003,Controlled
727,moderado,-29.48,0.22,35.0476,Controlled
727,baixo,-29.7,5.96,0.72448,Controlled
768.18,moderado,-35.66,0.08,40.8121,Controlled
768,baixo,-35.74,0.71,0.24374,Controlled
773,moderado,-36.45,0.22,4.80398,Controlled
774,baixo,-36.67,2.39,0.72039,Controlled
790,moderado,-39.06,0.08,16.3352,Controlled
791,baixo,-39.14,9.32,0.24394,Controlled
854,moderado,-48.46,0.08,63.8604,Controlled
855,baixo,-48.54,0.92,0.24414,Controlled
861,alto,-49.46,0.15,6.2439,Controlled
861,moderado,-49.61,0.08,0.09759,Controlled
861,baixo,-49.69,0.78,0.2426,Controlled
866.5,alto,-50.47,0.57,5.28402,Controlled
867,moderado,-51.04,0.08,0.38782,Controlled
867,baixo,-51.12,5.19,0.24032,Controlled
903,alto,-56.31,0.5,35.5279,Controlled
903,moderado,-56.81,0.08,0.33982,Controlled
903,baixo,-56.89,0.71,0.24013,Controlled
908,alto,-57.6,0.71,4.80009,Controlled
908.52,moderado,-58.31,0.5,0.48394,Controlled
910,baixo,-58.81,2.81,2,Controlled
929,alto,-61.62,1.41,19,Controlled
930,moderado,-63.03,0.36,0.95949,Controlled
932,alto,-63.39,1.27,1.2046,Controlled
932.44,moderado,-64.66,0.15,0.86809,Controlled
933,alto,-64.81,0.08,0.48402,Controlled
933,moderado,-64.89,0.08,0.04712,Controlled
933,baixo,-64.97,0.08,0.24376,Controlled
933.7,alto,-65.05,0.71,0.48501,Controlled
934,moderado,-65.76,0.08,0.48402,Controlled
934,alto,-65.84,0.08,0.24392,Controlled
934,moderado,-65.92,0.15,0.04755,Controlled
935,baixo,-66.07,1.41,0.48855,Controlled
945,alto,-67.48,0.78,9.60378,Controlled
945,moderado,-68.26,0.08,0.5319,Controlled
945,baixo,-68.34,3.86,0.24364,Controlled
972,moderado,-72.2,0.08,26.4285,Controlled
972,baixo,-72.28,0.92,0.24405,Controlled
978,alto,-73.2,1.13,6.24385,Controlled
979,moderado,-74.33,0.29,0.76762,Controlled
980,baixo,-74.62,1.13,0.96436,Controlled
988,alto,-75.75,0.15,7.68011,Controlled
988,moderado,-75.9,0.08,0.09672,Controlled
988,alto,-75.98,0.85,0.23939,Controlled
989,moderado,-76.83,0.22,0.58007,Controlled
989,baixo,-77.05,0.36,0.72367,Controlled
991.72,alto,-77.41,0.64,2.40816,Controlled
