Tempo(s), Risco do Sensor, Nivel da Bateria,Delta de Bateria, Diff(s)
3.28082,alto,95.16,0.43,0.25879
3.56884,moderado,94.73,0.08,0.28802
3.61735,baixo,94.65,0.22,0.04851
3.76544,alto,94.43,1.13,0.14809
4.53331,moderado,93.3,0.08,0.76787
4.5809,baixo,93.22,4.77,0.04759
7.85292,moderado,88.45,0.22,3.27203
8.0007,baixo,88.23,4.7,0.14778
11.2174,alto,83.53,0.85,3.21668
11.7934,moderado,82.68,0.15,0.57605
11.8897,baixo,82.53,0.99,0.09629
12.5654,alto,81.54,0.22,0.67568
12.7135,moderado,81.32,0.08,0.14807
12.7609,baixo,81.24,0.85,0.04746
13.3414,alto,80.39,0.29,0.58042
13.5334,moderado,80.1,0.22,0.19205
13.6811,baixo,79.88,2.53,0.14768
15.4134,moderado,77.35,0.08,1.73236
15.4611,baixo,77.27,2.46,0.04767
17.1529,moderado,74.81,0.08,1.69183
17.2007,baixo,74.73,2.11,0.0478
18.6493,alto,72.62,0.08,1.44858
19,moderado,72.54,0.08,0.04765
18.7458,baixo,72.46,2.74,0.04881
20.6211,moderado,69.72,0.15,1.8753
20.7185,baixo,69.57,7.15,0.09741
25.9039,alto,62.42,0.08,5.18544
26,moderado,62.34,0.15,0.0551
26.0733,alto,62.19,1.06,0.11431
26.9116,moderado,61.13,0.15,0.83831
27.0251,baixo,60.98,1.69,0.11345
28.3636,moderado,59.29,0.29,1.3385
28.5879,alto,59,0.43,0.22431
29,moderado,58.57,0.22,0.33615
29.0924,baixo,58.35,5.05,0.16837
34.6897,alto,53.3,0.57,5.59724
35.0735,moderado,52.73,0.36,0.38386
35.3168,baixo,52.37,0.36,0.24332
35.5568,moderado,52.01,0.29,0.24001
35.7536,baixo,51.72,5.26,0.19672
39.3688,moderado,46.46,0.08,3.61521
39.4165,baixo,46.38,1.76,0.04773
40.6293,moderado,44.62,0.08,1.21282
40.6772,baixo,44.54,2.04,0.0479
42.0732,alto,42.5,0.57,1.39603
42.4567,moderado,41.93,0.5,0.38349
42.7934,baixo,41.43,1.2,0.33664
43.6133,alto,40.23,1.13,0.81994
44,moderado,39.1,0.29,0.76765
44.5733,baixo,38.81,0.08,0.19229
44.6213,moderado,38.73,0.08,0.04807
44.6704,baixo,38.65,0.36,0.04909
44.9133,alto,38.29,0.43,0.24292
45.2016,moderado,37.86,0.08,0.28822
45.2495,baixo,37.78,2.25,0.0479
46.8421,moderado,35.53,0.08,1.59261
46.8901,baixo,35.45,2.25,0.04806
48.4453,alto,33.2,0.57,1.55519
48.8334,moderado,32.63,0.15,0.38812
48.9307,baixo,32.48,4,0.09724
51.6731,alto,28.48,1.83,2.74241
52.9255,moderado,26.65,0.43,1.25243
53,baixo,26.22,3.23,0.29148
55.4284,moderado,22.99,0.08,2.21139
55,baixo,22.91,4.77,0.04861
58.7534,moderado,18.14,0.15,3.27642
58.8496,baixo,17.99,0.92,0.0962
59.4801,alto,17.07,0.5,0.63051
59.8173,moderado,16.57,0.22,0.33718
59.9655,baixo,16.35,9.67,0.14826
66.6009,alto,6.68,0.71,6.63537
67.0811,moderado,5.97,0.15,0.48023
67.1786,alto,5.82,0.64,0.09746
67.6174,moderado,5.18,0.15,0.43881
67.7146,baixo,5.03,5.33,0.09722
71.3654,moderado,-0.3,0.15,3.65077
71.4623,baixo,-0.45,1.69,0.09692
72.6175,moderado,-2.14,0.08,1.15513
72.6647,alto,-2.22,1.06,0.04724
73.3854,moderado,-3.28,0.08,0.72069
73.4328,baixo,-3.36,1.06,0.0474
74.1614,moderado,-4.42,0.08,0.72866
74.2092,baixo,-4.5,0.78,0.04778
74.7446,alto,-5.28,0.29,0.53542
74.9375,moderado,-5.57,0.15,0.19289
75.0347,baixo,-5.72,0.57,0.0972
75.4255,moderado,-6.29,0.15,0.39072
75.5226,baixo,-6.44,0.78,0.09714
76.0571,moderado,-7.22,0.08,0.53449
76.1051,baixo,-7.3,1.97,0.04796
77.4571,alto,-9.27,0.22,1.35205
77.6054,moderado,-9.49,0.29,0.14828
77.8014,baixo,-9.78,1.76,0.19599
79.0056,moderado,-11.54,0.36,1.20418
79.2491,baixo,-11.9,0.57,0.2435
80,alto,-12.47,0.71,0.38398
80.1132,moderado,-13.18,0.15,0.48016
80.2103,baixo,-13.33,1.13,0.0971
80.9815,alto,-14.46,0.29,0.77121
81.1735,moderado,-14.75,0.08,0.19195
81.2215,baixo,-14.83,0.5,0.04799
81.5608,moderado,-15.33,0.22,0.33932
81.7094,baixo,-15.55,0.08,0.1486
81.7571,moderado,-15.63,0.08,0.04776
81.8056,baixo,-15.71,0.57,0.04841
82.1935,alto,-16.28,0.36,0.3879
82.4375,moderado,-16.64,0.36,0.24408
82.6775,baixo,-17,2.53,0.23998
84.4089,alto,-19.53,1.34,1.73135
85.3249,moderado,-20.87,0.22,0.91604
85.4735,baixo,-21.09,10.44,0.14857
92.6371,alto,-31.53,0.29,7.16364
92.8292,moderado,-31.82,0.08,0.19211
92.8768,baixo,-31.9,0.22,0.04755
93.0253,moderado,-32.12,0.15,0.14856
93.1224,baixo,-32.27,3.3,0.09702
95.3853,moderado,-35.57,0.29,2.26291
95.5775,baixo,-35.86,1.06,0.19222
