Tref:,1514237651,0.221379,=B1+C1

Sensor Sender ID, Patient Health Status, Detected Emergency?, T bodyhub.processed (s), T sensornode.collected (s), delta (s)
0,medium,false,16.2804,16.1853,0.0950356
3,bad,true,21.5801,21.5025,0.0776171
4,bad,true,23.3807,23.3099,0.0707573
1,bad,false,23.6807,23.492,0.188646
2,bad,false,24.6803,24.5967,0.0836405
8,bad,false,26.7802,26.7337,0.0465057
5,bad,false,27.1803,27.115,0.0652975
0,bad,true,28.2805,28.1858,0.0946212
9,bad,true,29.5802,29.5378,0.0423415
6,bad,true,30.0801,30.02,0.0600706
3,bad,false,31.9801,31.9035,0.0765843
4,bad,false,33.9802,33.9085,0.0717484
2,bad,false,36.1801,36.0974,0.082717
1,bad,true,37.1808,36.9911,0.189657
7,bad,true,37.1809,37.1266,0.0543638
5,bad,true,38.6808,38.614,0.0667871
0,bad,false,38.9802,38.8853,0.0949132
9,bad,false,40.0803,40.0379,0.0423328
8,bad,true,40.7802,40.7315,0.0487131
6,bad,false,41.4802,41.4197,0.0605172
7,bad,false,47.981,47.9288,0.0522768
1,bad,false,48.4802,48.2939,0.186312
5,bad,false,48.9802,48.9142,0.065964
4,bad,true,49.9802,49.9082,0.0720198
8,bad,false,51.3801,51.3312,0.0489215
2,bad,false,53.1801,53.0965,0.0836191
6,bad,true,53.4801,53.4226,0.0574948
0,bad,false,53.9818,53.8854,0.0963338
3,bad,true,53.9821,53.9038,0.0783489
9,bad,false,57.0806,57.0383,0.0422149
4,bad,false,60.5802,60.5082,0.0719524
7,bad,true,60.9801,60.9259,0.0542172
6,bad,false,63.9802,63.9201,0.0601669
3,bad,false,65.0802,65.0025,0.0777854
8,bad,true,65.3803,65.3315,0.0487399
5,bad,true,65.4802,65.4153,0.0649136
1,bad,false,67.9801,67.7908,0.189355
2,bad,true,68.1802,68.0966,0.0835609
7,bad,false,72.0801,72.0272,0.0528558
4,bad,false,74.5808,74.5086,0.0721463
9,bad,false,74.5809,74.538,0.0428884
8,bad,false,76.0808,76.0338,0.0469901
0,bad,true,76.9802,76.8853,0.0948969
5,bad,false,77.1802,77.114,0.0661477
2,bad,false,79.1802,79.0971,0.0831504
6,bad,false,79.9803,79.92,0.0602741
3,bad,false,80.0802,80.0038,0.0763892
7,bad,false,85.0801,85.026,0.0540708
8,bad,true,88.0803,88.0318,0.0484899
0,bad,false,88.5808,88.4855,0.0953563
4,bad,true,88.5809,88.5085,0.0724778
9,bad,false,90.5802,90.5379,0.042233
1,bad,true,91.9802,91.7912,0.18897
6,bad,true,92.4801,92.4199,0.0601986
2,bad,false,96.1802,96.0967,0.083483
3,bad,false,97.0802,97.0027,0.0775349
8,bad,false,98.7802,98.7315,0.048623
4,bad,false,99.3802,99.3082,0.0720082
5,bad,true,100.18,100.114,0.0661383
9,bad,false,102.58,102.537,0.0429504
1,bad,false,102.68,102.491,0.189144
6,bad,false,103.28,103.22,0.0602227
0,bad,false,104.08,103.985,0.0949216
7,bad,false,106.08,106.025,0.0547294
2,bad,true,110.18,110.097,0.0836741
5,bad,false,110.68,110.614,0.0662318
8,bad,false,111.28,111.232,0.0487215
3,bad,false,112.08,112.003,0.0774332
4,bad,true,114.38,114.308,0.0720365
9,bad,false,116.58,116.537,0.0431683
1,bad,true,116.68,116.491,0.189063
7,bad,true,118.08,118.026,0.0545512
2,bad,false,120.58,120.497,0.0834511
6,bad,true,122.28,122.22,0.0602564
5,bad,false,123.18,123.114,0.0663521
4,bad,false,125.18,125.108,0.0721154
0,bad,false,126.08,125.985,0.0947291
3,bad,false,127.08,127.003,0.0774319
8,bad,true,127.28,127.231,0.0488338
1,bad,false,128.38,128.191,0.18899
7,bad,false,128.58,128.526,0.054506
9,bad,false,129.08,129.037,0.0427696
6,bad,false,133.38,133.32,0.0604915
2,bad,false,136.58,136.497,0.0833463
8,bad,false,137.68,137.632,0.0478824
5,bad,true,138.18,138.114,0.0660905
0,bad,true,139.08,138.985,0.0946647
7,bad,false,140.08,140.026,0.0545922
4,bad,false,140.68,140.608,0.0720455
6,bad,true,145.88,145.82,0.0602514
3,bad,true,146.081,146.003,0.0780719
9,bad,false,146.081,146.038,0.0432814
1,bad,false,147.38,147.191,0.189035
5,bad,false,148.98,148.914,0.0661682
0,bad,false,150.38,150.285,0.0948663
2,bad,false,155.58,155.497,0.0835961
3,bad,false,156.98,156.902,0.0777703
6,medium,false,157.58,157.52,0.0602562
9,bad,true,159.58,159.537,0.0428424
8,bad,true,160.68,160.632,0.0482019
4,bad,true,161.68,161.608,0.0718498
1,bad,false,162.88,162.691,0.188822
5,bad,false,164.98,164.914,0.0659755
7,bad,false,166.08,166.026,0.0540133
0,bad,false,166.38,166.285,0.0949443
6,bad,false,169.58,169.52,0.0598953
3,bad,true,169.98,169.903,0.0775442
9,bad,false,170.38,170.337,0.0428889
8,bad,false,171.28,171.232,0.0483452
4,bad,false,172.18,172.108,0.0719597
2,bad,true,173.58,173.497,0.0835002
5,bad,false,178.98,178.914,0.0657438
7,bad,true,179.58,179.526,0.0545427
1,bad,false,180.88,180.691,0.1891
