Tref:,1514229881,0.513479,=B1+C1

Sensor Sender ID, Patient Health Status, Detected Emergency?, T bodyhub.processed (s), T sensornode.collected (s), delta (s)
0,bad,true,38.088,37.8933,0.194753
0,good,false,57.3879,57.1931,0.194874
0,bad,true,68.3881,68.1931,0.194926
0,good,false,77.488,77.2932,0.194768
0,bad,true,109.488,109.293,0.194832
0,good,false,138.688,138.493,0.194635
0,bad,true,170.688,170.493,0.194781
0,medium,false,179.788,179.593,0.194655
0,bad,true,190.288,190.093,0.194841
0,medium,false,199.988,199.793,0.194929
0,bad,true,210.488,210.293,0.194774
0,medium,false,230.188,229.993,0.194809
0,good,false,240.688,240.493,0.194933
0,bad,true,251.688,251.493,0.194885
0,medium,false,260.788,260.593,0.194779
0,bad,true,271.288,271.093,0.194845
0,good,false,290.988,290.793,0.194705
0,medium,false,301.988,301.793,0.194769
0,bad,true,311.988,311.793,0.194939
0,good,false,331.588,331.393,0.194849
0,bad,true,352.588,352.393,0.194873
0,good,false,381.788,381.593,0.194808
0,bad,true,392.788,392.593,0.194806
0,good,false,401.888,401.693,0.194758
0,bad,true,412.888,412.693,0.194854
0,good,false,422.088,421.893,0.194955
0,bad,true,433.088,432.893,0.194687
0,good,false,442.288,442.093,0.194727
0,bad,true,463.288,463.093,0.19483
0,good,false,512.688,512.493,0.194956
0,bad,true,523.688,523.493,0.194914
0,good,false,553.088,552.893,0.194777
0,bad,true,564.088,563.893,0.194895
0,medium,false,603.388,603.193,0.194855
0,bad,true,613.888,613.693,0.194809
0,medium,false,623.588,623.393,0.194835
0,bad,true,634.088,633.893,0.194823
0,good,false,643.688,643.493,0.194853
