Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor0,bom,3.27327,3.36829,0.0950198
Sensor0,bom,4.27334,4.3681,0.0947568
Sensor0,bom,5.2733,5.36821,0.0949062
Sensor0,bom,6.27324,6.36808,0.0948443
Sensor0,bom,7.27324,7.36817,0.0949374
Sensor0,bom,8.27325,8.36818,0.0949268
Sensor0,bom,9.27329,9.36823,0.0949376
Sensor0,bom,10.2734,10.3682,0.0947797
Sensor0,bom,11.2733,11.3682,0.0948844
Sensor0,bom,12.2733,12.3682,0.0948574
Sensor0,bom,13.2732,13.3682,0.0949154
Sensor0,bom,14.2732,14.3682,0.0949117
Sensor0,bom,15.2733,15.3682,0.0949017
Sensor0,bom,16.2733,16.3681,0.0948287
Sensor0,bom,17.2733,17.3682,0.0948525
Sensor0,bom,18.2734,18.3682,0.0947522
Sensor0,bom,19.2733,19.3681,0.0948631
Sensor0,bom,20.2734,20.3682,0.0947748
Sensor0,bom,21.2733,21.3681,0.0947926
Sensor0,bom,22.2732,22.3681,0.0948743
Sensor0,bom,23.2732,23.3682,0.0950024
Sensor0,bom,24.2732,24.3682,0.0949235
Sensor0,bom,25.2733,25.3682,0.0948661
Sensor0,bom,26.2733,26.3682,0.0948716
Sensor0,bom,27.2733,27.3682,0.0948677
Sensor0,bom,28.2733,28.3682,0.0948173
Sensor0,bom,29.2732,29368,0.0947901
Sensor0,bom,30.2732,30.3681,0.0948872
Sensor0,bom,31.2732,31.3682,0.0950089
Sensor0,bom,32.2733,32.3682,0.0948276
Sensor0,bom,33.2733,33.3682,0.094841
Sensor0,bom,34.2733,34.3682,0.0948259
Sensor0,bom,35.2734,35.3682,0.0948186
Sensor0,bom,36.2733,36.3682,0.0948429
Sensor0,bom,37.2733,37.3682,0.0948173
Sensor0,bom,38.2732,38.3682,0.0949855
Sensor0,bom,39.2731,39.3681,0.0949986
Sensor0,bom,40.2734,40.3682,0.0947976
Sensor0,bom,41.2733,41.3682,0.0948145
Sensor0,bom,42.2733,42.3682,0.0948675
Sensor0,bom,43.2733,43.3682,0.0948324
Sensor0,bom,44.2734,44.3682,0.094794
Sensor0,bom,45.2733,45.3681,0.0947621
Sensor0,bom,46.2733,46.3681,0.0948273
Sensor0,bom,47.2732,47.3682,0.0949595
Sensor0,bom,48.2733,48.3681,0.0948448
Sensor0,bom,49.2733,49.3681,0.0948257
Sensor0,bom,50.2732,50.3681,0.0948908
Sensor0,bom,51.2733,51.3682,0.0948252
Sensor0,bom,52.2734,52.3682,0.0948124
Sensor0,bom,53.2734,53.3682,0.0947735
Sensor0,bom,54.2733,54.3681,0.0948461
