Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor1,bom,4.63533,4.83044,0.195103
Sensor1,bom,5.63528,5.83042,0.195139
Sensor1,bom,6.63515,6.83034,0.195188
Sensor1,bom,7.6352,7.83032,0.195127
Sensor1,bom,8.63525,8.83034,0.195087
Sensor1,bom,9.63535,9.83045,0.195099
Sensor1,bom,10.6353,10.8304,0.195085
Sensor1,bom,11.6351,11.8304,0.195315
Sensor1,bom,12.6361,12.8304,0.194281
Sensor1,bom,13.6361,13.8305,0.194337
Sensor1,bom,14.6361,14.8304,0.194316
Sensor1,bom,15.6439,15.8304,0.186477
Sensor1,bom,16.6362,16.8304,0.194201
Sensor1,bom,17696,17.8978,0.201714
Sensor1,bom,18.7761,18.9966,0.220441
Sensor1,bom,19.9305,20.1681,0.237599
Sensor1,bom,21.1393,21.3773,0.237975
Sensor1,bom,22.3528,22593,0.240255
Sensor1,bom,23565,23.8032,0.23817
Sensor1,bom,24776,25.0138,0.237831
Sensor1,bom,25.9914,26.2296,0.238173
Sensor1,bom,27.1998,27.4389,0.239125
Sensor1,bom,28.4104,28.6488,0.238423
Sensor1,bom,29.6213,29.8611,0.239774
Sensor1,bom,30.8332,31.0736,0.240453
Sensor1,bom,32.0477,32.2868,0.23908
Sensor1,bom,33.2606,33.5024,0.241828
Sensor1,bom,34.4766,34.7172,0.240609
Sensor1,bom,35.6922,35.9303,0.238162
Sensor1,bom,36.9042,37.1419,0.237722
Sensor1,bom,38.1189,38.3585,0.239608
Sensor1,bom,39.3315,39.5712,0.239702
Sensor1,bom,40.5459,40.7854,0.239472
Sensor1,bom,41.7595,41.9985,0.239472
Sensor1,bom,42.9728,43.2124,0.239613
Sensor1,bom,44.1852,44.4245,0.239386
Sensor1,bom,45397,45.6369,0.23988
Sensor1,bom,46.6086,46.8488,0.240197
Sensor1,bom,47.8244,48.0637,0.239287
Sensor1,bom,49.0369,49.2762,0.239292
Sensor1,bom,50.2485,50.4871,0.238614
Sensor1,bom,51.4619,51.6999,0.237995
Sensor1,bom,52.6704,52.9077,0.237286
Sensor1,bom,53.8805,54.1176,0.23717
Sensor1,bom,55089,55.3269,0.237853
Sensor1,bom,56.3007,56.5384,0.237677
Sensor1,bom,57.5137,57.7533,0.239517
Sensor1,bom,58.7274,58.9661,0.238635
Sensor1,bom,59.9407,60179,0.23832
Sensor1,bom,61.1496,61.3872,0.237586
Sensor1,bom,62.3624,62.6017,0.239298
Sensor1,bom,63.5767,63.8149,0.238123
Sensor1,bom,64.7876,65027,0.239376
Sensor1,bom,66.0006,66.2409,0.240283
Sensor1,bom,67.2151,67455,0.239859
Sensor1,bom,68.4309,68671,0.240131
Sensor1,bom,69.6436,69.8817,0.238176
Sensor1,bom,70.8545,71.0916,0.237104
