Tempo(s), Risco do Sensor, Nível da Bateria,Delta Battery, Diff(s),Mode
11.9157,alto,99.150,5.622,11.09,Controlled
21.1156,baixo,93.528,0.78,9.19995,Controlled
32.1157,moderado,92.748,1.245,11.0001,Controlled
41.6156,baixo,91.503,0.78,9.49992,Controlled
52.6157,alto,90.723,5.622,11.0001,Controlled
61.8157,moderado,85.101,1.375,9.19995,Controlled
72.3157,alto,83.726,5.866,10.5,Controlled
81.9157,baixo,77.860,0.78,9.60006,Controlled
92.9158,moderado,77.080,1.31,11.0001,Controlled
103,alto,75.770,5.927,9.99985,Controlled
113,baixo,69.843,0.78,9.70001,Controlled
124,alto,69.063,5.622,11,Controlled
133,baixo,63.441,0.78,9.19992,Controlled
144,alto,62.661,5.622,11.0001,Controlled
153,baixo,57.039,0.78,9.19985,Controlled
164,alto,56.259,5.622,11.0002,Controlled
173,baixo,50.637,0.78,9.19996,Controlled
184,alto,49.857,5.622,10.9999,Controlled
193,baixo,44.235,0.78,9.20005,Controlled
204,moderado,43.455,1.245,11,Controlled
214,baixo,42.210,0.78,9.50002,Controlled
225,moderado,41.430,1.31,10.9999,Controlled
235,baixo,40.120,0.78,10.0001,Controlled
246,moderado,39.340,1.31,11.0001,Controlled
256,alto,38.030,5.927,9.9999,Controlled
266,baixo,32.103,0.78,9.69997,Controlled
277,alto,31.323,5.622,11,Controlled
286,baixo,25.701,0.78,9.19992,Controlled
297,moderado,24.921,1.245,11.0001,Controlled
306,baixo,23.676,0.78,9.50003,Controlled
317,alto,22.896,5.622,11,Controlled
327,baixo,17.274,0.78,9.19999,Controlled
338,moderado,16.494,1.31,11,Controlled
348,alto,15.184,5.927,10.0001,Controlled
357,baixo,9.257,0.78,9.70004,Controlled
368,alto,8.477,5.622,10.9999,Controlled
377,baixo,2.855,0.78,9.20001,Controlled
388,moderado,2.075,1.31,11,Controlled
398,alto,765,5.927,10.0001,Controlled
408,baixo,-5.162,0.78,9.69989,Controlled
419,moderado,-5.942,1.245,11.0001,Controlled
429,alto,-7.187,5.927,9.49999,Controlled
438,baixo,-13.114,0.78,9.7,Controlled
449,moderado,-13.894,1.31,11,Controlled
459,alto,-15.204,5.866,10,Controlled
469,baixo,-21.070,0.78,9.60001,Controlled
480,alto,-21.850,5.561,11,Controlled
489,baixo,-27.411,0.78,9.10007,Controlled
500,alto,-28.191,5.622,11,Controlled
509,baixo,-33.813,0.78,9.1999,Controlled
520,moderado,-34.593,1.31,11,Controlled
530,baixo,-35.903,0.78,9.99992,Controlled
541,alto,-36.683,5.561,11.0001,Controlled
550,baixo,-42.244,0.78,9.10005,Controlled
561,moderado,-43.024,1.31,10.9999,Controlled
571,alto,-44.334,5.866,10.0001,Controlled
581,baixo,-50.200,0.78,9.59999,Controlled
592,moderado,-50.980,1.31,11.0001,Controlled
602,alto,-52.290,5.866,9.99994,Controlled
612,baixo,-58.156,0.78,9.59998,Controlled
623,alto,-58.936,5.561,10.9999,Controlled
632,baixo,-64.497,0.78,9.10004,Controlled
643,moderado,-65.277,1.31,11.0002,Controlled
653,alto,-66.587,5.927,9.99993,Controlled
662,baixo,-72.514,0.78,9.69987,Controlled
673,alto,-73.294,5.561,11.0001,Controlled
682,baixo,-78.855,0.78,9.10003,Controlled
693,moderado,-79.635,1.31,11,Controlled
703,alto,-80.945,5.866,9.99992,Controlled
713,baixo,-86.811,0.78,9.6001,Controlled
724,alto,-87.591,5.561,10.9999,Controlled
733,baixo,-93.152,0.78,9.10006,Controlled
744,alto,-93.932,5.561,11.0001,Controlled
753,baixo,-99.493,0.78,9.09991,Controlled
764,alto,-100.273,5.622,11,Controlled
773,moderado,-105.895,1.375,9.19996,Controlled
784,baixo,-107.270,0.78,10.5001,Controlled
795,moderado,-108.050,1.31,11,Controlled
